angle,label,score
8,Illustration,0.7493422031402588
8,Art,0.7399447560310364
8,Mane,0.6255647540092468
8,Modern art,0.6239132285118103
8,Stallion,0.6208444833755493
9,Head,0.9039563536643982
9,Drawing,0.8401148915290833
9,Sketch,0.7906739115715027
9,Horse,0.7780503034591675
9,Art,0.7088651061058044
9,Illustration,0.7008524537086487
9,Stallion,0.6114016175270081
9,Wood,0.5958532094955444
9,Mustang horse,0.5673904418945312
9,Mane,0.5344477295875549
10,Head,0.9080222845077515
10,Drawing,0.8164358735084534
10,Sketch,0.731535792350769
10,Art,0.7207983136177063
10,Illustration,0.7095673680305481
10,Horse,0.6118180751800537
10,Modern art,0.518736720085144
11,Head,0.8984001874923706
11,Drawing,0.8387206792831421
11,Sketch,0.7582741975784302
11,Art,0.7548457980155945
11,Illustration,0.7008524537086487
11,Modern art,0.6164556741714478
11,Horse,0.5784614086151123
11,Artwork,0.5519563555717468
11,Stallion,0.5294837951660156
11,Fictional character,0.5279175639152527
12,Head,0.9039563536643982
12,Nose,0.8419631719589233
12,Drawing,0.8250590562820435
12,Sketch,0.753728449344635
12,Illustration,0.7316700220108032
12,Art,0.7207983136177063
12,Artwork,0.5337058305740356
12,Fictional character,0.5279175639152527
12,Modern art,0.518736720085144
13,Head,0.9166451692581177
13,Drawing,0.8414872288703918
13,Horse,0.8376321196556091
13,Sketch,0.7626960277557373
13,Illustration,0.7544986605644226
13,Art,0.7207983136177063
13,Stallion,0.647361695766449
13,Mustang horse,0.6446987390518188
13,Wood,0.5958532094955444
13,Mane,0.578219473361969
14,Head,0.9136703014373779
14,Horse,0.9064565300941467
14,Drawing,0.8587399125099182
14,Sketch,0.797857940196991
14,Illustration,0.7095673680305481
14,Mustang horse,0.7080861330032349
14,Stallion,0.6637853384017944
14,Art,0.655128538608551
14,Mane,0.6290799379348755
14,Fictional character,0.5859824419021606
15,Head,0.9174805283546448
15,Horse,0.8924455642700195
15,Drawing,0.849298357963562
15,Sketch,0.8129605054855347
15,Mustang horse,0.7590334415435791
15,Illustration,0.7316700220108032
15,Stallion,0.6979768872261047
15,Mane,0.6673234701156616
15,Art,0.6253476738929749
15,Wood,0.5958532094955444
16,Head,0.8947408199310303
16,Horse,0.78700852394104
16,Drawing,0.760521650314331
16,Sketch,0.693024754524231
16,Illustration,0.6688148975372314
16,Mustang horse,0.6040202379226685
16,Stallion,0.5940030217170715
16,Wildlife,0.5761504173278809
16,Mane,0.5692198872566223
16,Fictional character,0.5279175639152527
17,Head,0.8947408199310303
17,Drawing,0.8027489185333252
17,Sketch,0.7812252640724182
17,Illustration,0.6688148975372314
17,Art,0.655128538608551
17,Horse,0.6455111503601074
17,Wood,0.5958532094955444
17,Wildlife,0.5761504173278809
17,Fictional character,0.5279175639152527
17,Stallion,0.5191066265106201
18,Head,0.8842743635177612
18,Drawing,0.7730106115341187
18,Sketch,0.75601726770401
18,Art,0.655128538608551
18,Illustration,0.6225569844245911
18,Wildlife,0.5761504173278809
19,Head,0.8762359619140625
19,Drawing,0.760521650314331
19,Sketch,0.7582741975784302
19,Illustration,0.5765818953514099
19,Wildlife,0.5761504173278809
19,Art,0.502187192440033
20,Head,0.8901773691177368
20,Drawing,0.7638013362884521
20,Sketch,0.7626960277557373
20,Illustration,0.5765818953514099
20,Wildlife,0.5761504173278809
20,Ear,0.5123199820518494
20,Art,0.502187192440033
21,Head,0.8842743635177612
21,Drawing,0.7293345928192139
21,Sketch,0.7206135392189026
21,Illustration,0.6225569844245911
21,Art,0.5813031792640686
22,Head,0.8901773691177368
22,Drawing,0.7758903503417969
22,Sketch,0.7648624777793884
22,Illustration,0.6554555892944336
22,Art,0.5813031792640686
23,Sketch,0.8113487362861633
23,Drawing,0.8108260035514832
23,Illustration,0.6017356514930725
23,Rock,0.5422748923301697
23,Art,0.502187192440033
24,Drawing,0.8108260035514832
24,Sketch,0.801335334777832
24,Illustration,0.5765818953514099
24,Rock,0.5422748923301697
25,Drawing,0.844169020652771
25,Sketch,0.8238298296928406
25,Tree,0.6869218349456787
25,Art,0.5813031792640686
25,Illustration,0.5765818953514099
25,Rock,0.5422748923301697
26,Head,0.8842743635177612
26,Sketch,0.7888275384902954
26,Drawing,0.7638013362884521
26,Wildlife,0.6762316226959229
26,Illustration,0.5451834201812744
26,Art,0.502187192440033
27,Head,0.8762359619140625
27,Sketch,0.804740846157074
27,Drawing,0.7890833616256714
27,Wildlife,0.6762316226959229
27,Illustration,0.5451834201812744
28,Head,0.8901773691177368
